Radars;Date;pdssr;pdpsr;pda;pdc;iva;ivc;fc;ft;mt;rng;azim;stat
EBBL;12/11/2020 00:00;;16,68;;;;;;;;-0,31;-0,02;geen SSR data
GEEK;10/11/2020 00:00;96,58;82,84;99,93;99,74;0;0,01;0,01;0;0,16;31,7;0;
GEEK;11/11/2020 00:00;95,96;87,4;99,99;99,99;0;0;0;0,01;0,03;75,8;0;
GEEK;12/11/2020 00:00;95,5;78,23;99,49;99,24;0;0,03;0,03;0;0,19;33,2;-0,01;
GEMB;10/11/2020 00:00;95,25;86,81;98,54;98,9;0,57;0,34;0,85;0,02;0,61;68,1;0,12;
GEMB;11/11/2020 00:00;95,9;89,18;98,96;99,1;0,4;0,33;0,66;0,01;0,47;68,6;0,14;
GEMB;12/11/2020 00:00;95,27;87,21;98,46;97,78;0,46;0,33;0,72;0,01;0,69;58;0,14;
EBFS;10/11/2020 00:00;84,53;82,62;99,78;99,6;0,12;0;0,12;0;0;11,1;0;
EBFS;11/11/2020 00:00;85,17;78,04;99,89;99,76;0;0;0;0;0;3,6;0,02;
EBFS;12/11/2020 00:00;84,49;76,97;99,88;99,47;0,01;0,01;0,02;0;0;1,4;0,04;
EBSH;10/11/2020 00:00;92,51;83,88;99,73;99,63;0,09;0;0,09;0;0;1;0,07;
EBSH;11/11/2020 00:00;93,13;77,19;99,69;99,59;0;0,01;0,01;0;0;-19,2;0,07;
EBSH;12/11/2020 00:00;89,05;79,19;99,65;99,14;0,02;0,04;0,04;0;0,03;-18,8;0,07;
LARCE;10/11/2020 00:00;;45,45;;;;;;;;-12,8;-0,05;
LARCE;11/11/2020 00:00;;31,49;;;;;;;;0;-0,01;
LARCE;12/11/2020 00:00;;38,89;;;;;;;;7,1;-0,05;
S723E;13/11/2020 00:00;94,08;88,64;99,89;99,9;0;0,02;0,02;0;0,09;11,9;-0,04;
S723E;14/11/2020 00:00;92,46;83;99,93;98,98;0;0;0;0;0,06;13,4;-0,04;
S723E;15/11/2020 00:00;95,18;88,98;99,95;99,94;0;0;0;0;0,02;-5,4;-0,04;
S723E;16/11/2020 00:00;92,92;83,92;99,96;99,84;0;0;0;0;0,17;33,3;-0,04;
EBBE;13/11/2020 00:00;71,84;66,68;97,81;96,71;0,05;0,09;0,12;0,15;1,12;87,4;-0,21;
EBBE;14/11/2020 00:00;61,39;52,43;93,03;91,57;0,02;0,04;0,06;0,13;0,82;115,2;-0,18;
EBBE;15/11/2020 00:00;73,74;73,29;98,88;98,05;0,03;0,09;0,11;0,07;0,9;84,3;-0,19;
EBBE;16/11/2020 00:00;67,58;64,17;94,52;93,86;0,06;0,2;0,24;0,13;1,36;80,6;-0,2;
EBBL;13/11/2020 00:00;;17,16;;;;;;;;0,5;-0,02;geen SSR data
EBBL;14/11/2020 00:00;;10,95;;;;;;;;4,5;0;geen SSR data
EBBL;16/11/2020 00:00;;23,3;;;;;;;;-7,8;-0,01;geen SSR data
EBBL;15/11/2020 00:00;;22,74;;;;;;;;-23,3;-0,04;geen SSR data
GEEK;13/11/2020 00:00;96,86;81,1;99,53;99,32;0;0,02;0,02;0;0,06;18,5;0;
GEEK;14/11/2020 00:00;96,51;69,04;99,42;98,22;0,01;0;0,01;0;0,2;60,8;0;
GEEK;15/11/2020 00:00;97,18;76,44;99,72;99,97;0;0;0;0;0,04;26,5;0;
GEEK;16/11/2020 00:00;96,01;83,5;99,53;99,47;0;0;0;0;0,14;80,5;-0,03;
GEMB;13/11/2020 00:00;95,81;87,64;99,07;99,27;0,3;0,24;0,49;0,01;0,57;53;0,12;
GEMB;14/11/2020 00:00;94,84;80,06;98,64;98,94;0,5;0,32;0,78;0,2;1,22;70,2;0,15;
GEMB;15/11/2020 00:00;96,61;83,09;99,61;99,64;0,22;0,19;0,36;0,02;0,05;42,7;0,16;
GEMB;16/11/2020 00:00;;;;;;;;;;;;geen data
EBFS;13/11/2020 00:00;86,46;84,3;99,86;99,74;0;0;0;0;0;-6,9;0,05;
EBFS;14/11/2020 00:00;83,26;71,67;99,89;99,69;0;0;0;0;0;-0,3;0,04;
EBFS;15/11/2020 00:00;87,72;84,13;99,86;99,84;0;0,01;0,01;0;0;-16,8;0,03;
EBFS;16/11/2020 00:00;;76,99;;;;;;;;25,9;0;geen SSR Data
EBSH;13/11/2020 00:00;91,51;83,33;99,68;99,51;0;0,01;0,01;0;0;-20;0,06;
GEEK;20/10/2020 00:00;95,96;65,6;99;98,88;0,03;0,03;0,06;0;0,4;51;0;
GEMB;20/10/2020 00:00;85,42;66,46;98,17;98,56;0,73;0,44;1,08;0,52;0,08;63,7;0,12;
EBFS;20/10/2020 00:00;86,73;77,39;99,89;99,79;0;0,01;0,01;0;0,01;1,7;0;
EBSH;20/10/2020 00:00;90,27;74,93;99,71;99,63;0;0;0;0;0;-25,2;0,03;
LARCE;20/10/2020 00:00;;39,82;;;;;;;;17,3;-0,06;
S723E;21/10/2020 00:00;94;87,22;99,91;99,9;0;0;0;0;0,15;42,7;-0,04;
EBBE;21/10/2020 00:00;67,51;71,61;92,74;91,72;0,14;0,23;0,35;0,17;1,19;100,4;-0,23;
